filename,filepath,label,patient_id,fold,seed,split_method,kfold
Female_normal-001.jpg,data\raw\normal\Female_normal-001.jpg,normal,Female_normal-001.jpg,4,42,stratified_image_level_fallback,5
Female_normal-002.jpg,data\raw\normal\Female_normal-002.jpg,normal,Female_normal-002.jpg,3,42,stratified_image_level_fallback,5
Female_normal-003.jpg,data\raw\normal\Female_normal-003.jpg,normal,Female_normal-003.jpg,2,42,stratified_image_level_fallback,5
Female_normal-004.jpg,data\raw\normal\Female_normal-004.jpg,normal,Female_normal-004.jpg,2,42,stratified_image_level_fallback,5
Female_normal-005.jpg,data\raw\normal\Female_normal-005.jpg,normal,Female_normal-005.jpg,3,42,stratified_image_level_fallback,5
Female_normal-006.jpg,data\raw\normal\Female_normal-006.jpg,normal,Female_normal-006.jpg,1,42,stratified_image_level_fallback,5
Female_normal-007.jpg,data\raw\normal\Female_normal-007.jpg,normal,Female_normal-007.jpg,4,42,stratified_image_level_fallback,5
Female_normal-008.jpg,data\raw\normal\Female_normal-008.jpg,normal,Female_normal-008.jpg,2,42,stratified_image_level_fallback,5
Female_normal-009.jpg,data\raw\normal\Female_normal-009.jpg,normal,Female_normal-009.jpg,4,42,stratified_image_level_fallback,5
Female_normal-010.jpg,data\raw\normal\Female_normal-010.jpg,normal,Female_normal-010.jpg,3,42,stratified_image_level_fallback,5
Female_normal-011.jpg,data\raw\normal\Female_normal-011.jpg,normal,Female_normal-011.jpg,4,42,stratified_image_level_fallback,5
Female_normal-012.jpg,data\raw\normal\Female_normal-012.jpg,normal,Female_normal-012.jpg,2,42,stratified_image_level_fallback,5
Female_normal-013.jpg,data\raw\normal\Female_normal-013.jpg,normal,Female_normal-013.jpg,2,42,stratified_image_level_fallback,5
Female_normal-014.jpg,data\raw\normal\Female_normal-014.jpg,normal,Female_normal-014.jpg,2,42,stratified_image_level_fallback,5
Female_normal-015.jpg,data\raw\normal\Female_normal-015.jpg,normal,Female_normal-015.jpg,1,42,stratified_image_level_fallback,5
Female_normal-016.jpg,data\raw\normal\Female_normal-016.jpg,normal,Female_normal-016.jpg,2,42,stratified_image_level_fallback,5
Female_normal-017.jpg,data\raw\normal\Female_normal-017.jpg,normal,Female_normal-017.jpg,2,42,stratified_image_level_fallback,5
Female_normal-018.jpg,data\raw\normal\Female_normal-018.jpg,normal,Female_normal-018.jpg,2,42,stratified_image_level_fallback,5
Female_normal-019.jpg,data\raw\normal\Female_normal-019.jpg,normal,Female_normal-019.jpg,4,42,stratified_image_level_fallback,5
Female_normal-020.jpg,data\raw\normal\Female_normal-020.jpg,normal,Female_normal-020.jpg,0,42,stratified_image_level_fallback,5
Female_normal-021.jpg,data\raw\normal\Female_normal-021.jpg,normal,Female_normal-021.jpg,4,42,stratified_image_level_fallback,5
Female_normal-022.jpg,data\raw\normal\Female_normal-022.jpg,normal,Female_normal-022.jpg,4,42,stratified_image_level_fallback,5
Female_normal-023.jpg,data\raw\normal\Female_normal-023.jpg,normal,Female_normal-023.jpg,1,42,stratified_image_level_fallback,5
Female_normal-024.jpg,data\raw\normal\Female_normal-024.jpg,normal,Female_normal-024.jpg,0,42,stratified_image_level_fallback,5
Female_normal-025.jpg,data\raw\normal\Female_normal-025.jpg,normal,Female_normal-025.jpg,0,42,stratified_image_level_fallback,5
Female_normal-026.jpg,data\raw\normal\Female_normal-026.jpg,normal,Female_normal-026.jpg,1,42,stratified_image_level_fallback,5
Female_normal-027.jpg,data\raw\normal\Female_normal-027.jpg,normal,Female_normal-027.jpg,2,42,stratified_image_level_fallback,5
Female_normal-028.jpg,data\raw\normal\Female_normal-028.jpg,normal,Female_normal-028.jpg,4,42,stratified_image_level_fallback,5
Female_normal-029.jpg,data\raw\normal\Female_normal-029.jpg,normal,Female_normal-029.jpg,4,42,stratified_image_level_fallback,5
Female_normal-030.jpg,data\raw\normal\Female_normal-030.jpg,normal,Female_normal-030.jpg,0,42,stratified_image_level_fallback,5
Female_normal-031.jpg,data\raw\normal\Female_normal-031.jpg,normal,Female_normal-031.jpg,4,42,stratified_image_level_fallback,5
Female_normal-032.jpg,data\raw\normal\Female_normal-032.jpg,normal,Female_normal-032.jpg,3,42,stratified_image_level_fallback,5
Female_normal-033.jpg,data\raw\normal\Female_normal-033.jpg,normal,Female_normal-033.jpg,4,42,stratified_image_level_fallback,5
